address,baths,beds,carparks,extracted_date,land_area,property_type,sold_date,sold_price,state,suburb,zip
483 Waverley Rd,1,3,2,21-03-2020,UNAVAILABLE,House,UNAVAILABLE,-1,VIC,Malvern East,3145
9 Weavers St,2,3,2,21-03-2020,320m²,House,UNAVAILABLE,-1,VIC,Manor Lakes,3024
8 Ampelon St,2,4,4,21-03-2020,UNAVAILABLE,House,6th March 2020,$670k,VIC,Manor Lakes,3024
4 Forest Gum Mw,2,4,4,21-03-2020,498m²,House,20th March 2020,$604k,VIC,Manor Lakes,3024
16 McHaffie Tce,2,4,2,21-03-2020,572m²,House,13th March 2020,$575k,VIC,Manor Lakes,3024
5/2-6 Great Ocean Rd,1,2,2,21-03-2020,UNAVAILABLE,House,29th February 2020,$590k,VIC,Marengo,3233
2 Ordnance Res,1,4,4,21-03-2020,UNAVAILABLE,House,20th March 2020,$1.476m,VIC,Maribyrnong,3032
2/41 Pridham St,1,2,2,21-03-2020,UNAVAILABLE,Unit,21st March 2020,$535k,VIC,Maribyrnong,3032
139 Raleigh Rd,2,5,2,21-03-2020,423m²,House,13th March 2020,$750k,VIC,Maribyrnong,3032
16 Rimfire Wk,2,3,2,21-03-2020,UNAVAILABLE,House,17th March 2020,Price withheld,VIC,Maribyrnong,3032
13 The Esplanade ,2,3,2,21-03-2020,754m²,House,13th March 2020,Price withheld,VIC,Maribyrnong,3032
2/31 The Esplanade ,1,2,1,21-03-2020,UNAVAILABLE,Villa,UNAVAILABLE,$633k,VIC,Maribyrnong,3032
1/4 La Scala Av,1,1,1,21-03-2020,UNAVAILABLE,Unit,20th March 2020,$320k,VIC,Maribyrnong,3032
112/4 La Scala Av,2,2,1,21-03-2020,UNAVAILABLE,Unit,29th February 2020,$495k,VIC,Maribyrnong,3032
101/84 La Scala Av,2,2,1,21-03-2020,UNAVAILABLE,Unit,20th March 2020,$410k,VIC,Maribyrnong,3032
9/8 Newstead St,1,2,1,21-03-2020,UNAVAILABLE,Unit,11th March 2020,$411k,VIC,Maribyrnong,3032
45 Cathcart St,2,3,−,21-03-2020,"2,000m²",House,13th March 2020,$340k,VIC,Marong,3515
270 Gladstone St,1,3,4,21-03-2020,"1,250m²",House,20th March 2020,$240k,VIC,Maryborough,3465
3A Foothills Av,2,3,4,21-03-2020,401m²,House,11th March 2020,$875k,VIC,McCrae,3938
12 Carloway Dr,2,4,3,21-03-2020,UNAVAILABLE,House,20th March 2020,$590k,VIC,McKenzie Hill,3450
103/3 Claire St,2,2,1,21-03-2020,UNAVAILABLE,Unit,19th February 2020,Price withheld,VIC,McKinnon,3204
