address,baths,beds,carparks,extracted_date,land_area,property_type,sold_date,sold_price,state,suburb,zip
27 Candy Rd,2,4,2,15-03-2020,412m²,House,UNAVAILABLE,$721k,VIC,Greenvale,3059
14 Edara Cct,2,4,2,15-03-2020,346m²,House,UNAVAILABLE,$550k max bid,VIC,Greenvale,3059
8 Galloway Ct,2,5,2,15-03-2020,722m²,House,10th March 2020,$930k,VIC,Greenvale,3059
114 Horizon Bvd,4,5,2,15-03-2020,510m²,House,7th March 2020,$950k,VIC,Greenvale,3059
23 Scarlet Dr,2,3,2,15-03-2020,399m²,House,28th February 2020,$645k,VIC,Greenvale,3059
11 Torino Av,2,4,2,15-03-2020,640m²,House,UNAVAILABLE,$779k,VIC,Greenvale,3059
57 Ambition Dr,2,5,2,15-03-2020,UNAVAILABLE,House,13th March 2020,$908k,VIC,Greenvale,3059
12 Ventura Wy,2,4,2,15-03-2020,378m²,House,29th February 2020,$650k,VIC,Greenvale,3059
3/142 Church St,1,2,1,15-03-2020,184m²,Unit,6th March 2020,$435k,VIC,Grovedale,3216
154 Church St,2,4,2,15-03-2020,656m²,House,4th March 2020,$590k,VIC,Grovedale,3216
24 Fontaine St,2,3,4,15-03-2020,730m²,House,28th February 2020,$590k,VIC,Grovedale,3216
35 Moruya Dr,2,4,2,15-03-2020,640m²,House,11th March 2020,$547k,VIC,Grovedale,3216
6 Torres Ct,1,3,2,15-03-2020,708m²,House,12th March 2020,$542k,VIC,Grovedale,3216
25 Pickerall Av,2,3,3,15-03-2020,652m²,House,UNAVAILABLE,Price withheld,VIC,Grovedale,3216
5 Timbarra Ct,2,4,−,15-03-2020,729m²,House,UNAVAILABLE,$630k,VIC,Grovedale,3216
1B Jensen St,1,2,2,15-03-2020,163m²,Villa,11th March 2020,$490k,VIC,Hadfield,3046
26 The Loop ,2,4,4,15-03-2020,535m²,House,14th March 2020,$986k,VIC,Hadfield,3046
8-10 Walter St,3,4,2,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,$1.05m max bid,VIC,Hadfield,3046
1B Jensen St,1,2,2,15-03-2020,163m²,Villa,11th March 2020,$490k,VIC,Hadfield,3046
2/21 Sutherland St,1,3,2,15-03-2020,154m²,Townhouse,7th March 2020,$630k,VIC,Hadfield,3046
34 Clarke St,2,4,1,15-03-2020,793m²,House,UNAVAILABLE,$191k,VIC,Hamilton,3300
1 Sycamore St,2,3,2,15-03-2020,306m²,House,26th February 2020,$560k,VIC,Hamlyn Heights,3215
24 Glenfine Av,1,3,1,15-03-2020,817m²,House,UNAVAILABLE,$744k,VIC,Hamlyn Heights,3215
15 Langibanool Av,2,4,1,15-03-2020,731m²,House,UNAVAILABLE,-1,VIC,Hamlyn Heights,3215
3/21-25 Alicia St,1,2,2,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$900k,VIC,Hampton,3188
6B Poole Av,3,4,3,15-03-2020,314m²,House,UNAVAILABLE,-1,VIC,Hampton,3188
5 Retreat Rd,4,5,2,15-03-2020,650m²,House,12th March 2020,Price withheld,VIC,Hampton,3188
29A Widdop Cr,2,3,2,15-03-2020,385m²,House,UNAVAILABLE,$1.175m,VIC,Hampton East,3188
8 Alaster Court ,2,4,2,15-03-2020,648m²,House,6th March 2020,$553k,VIC,Hampton Park,3976
4 Evelyn Ct,2,3,1,15-03-2020,UNAVAILABLE,House,18th February 2020,$525k,VIC,Hampton Park,3976
99 Fordholm Rd,1,3,1,15-03-2020,596m²,House,19th February 2020,$525k,VIC,Hampton Park,3976
1/115 High St,1,2,2,15-03-2020,UNAVAILABLE,Unit,10th March 2020,$350k,VIC,Hastings,3915
16 Hilltop Ri,2,3,2,15-03-2020,572m²,House,5th March 2020,$510k,VIC,Hastings,3915
1/11 Ardene Ct,1,2,1,15-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,-1,VIC,Hawthorn,3122
5/124A Barkers Rd,1,1,1,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$380k,VIC,Hawthorn,3122
522 Burwood Rd,1,2,1,15-03-2020,337m²,House,UNAVAILABLE,$1.32m,VIC,Hawthorn,3122
3 Chrystobel Cr,2,4,2,15-03-2020,830m²,House,UNAVAILABLE,$4.9m max bid,VIC,Hawthorn,3122
5/49 Denham St,1,1,1,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$520k,VIC,Hawthorn,3122
3/24 Henrietta St,1,2,1,15-03-2020,UNAVAILABLE,Villa,4th March 2020,Price withheld,VIC,Hawthorn,3122
8/17 Muir St,1,2,1,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$666k,VIC,Hawthorn,3122
5/66 Auburn Rd,1,2,1,15-03-2020,UNAVAILABLE,Unit,3rd March 2020,$471k,VIC,Hawthorn,3122
302/36 Lynch St,1,2,1,15-03-2020,UNAVAILABLE,Unit,4th March 2020,$560k,VIC,Hawthorn,3122
3 Salisbury Gr,2,4,2,15-03-2020,417m²,House,3rd March 2020,$2.7m,VIC,Hawthorn,3122
6 Bluff St,4,4,4,15-03-2020,892m²,House,UNAVAILABLE,$3.86m max bid,VIC,Hawthorn East,3123
110 Harcourt St,3,4,2,15-03-2020,766m²,House,UNAVAILABLE,$3.6m,VIC,Hawthorn East,3123
9 Monteath Av,1,3,1,15-03-2020,UNAVAILABLE,House,14th March 2020,$1.07m,VIC,Hawthorn East,3123
1/50 Victoria Rd,3,3,2,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,$1.775m,VIC,Hawthorn East,3123
25 Brumfield Rd,1,3,2,15-03-2020,787m²,House,9th March 2020,$520k,VIC,Healesville,3777
6 Eleva Rd,2,3,3,15-03-2020,UNAVAILABLE,House,28th February 2020,$618k,VIC,Healesville,3777
6 Eli Bates Ct,2,4,6,15-03-2020,"4,009m²",House,29th February 2020,$910k,VIC,Healesville,3777
32 Maroondah Hwy,2,3,3,15-03-2020,"3,200m²",House,24th February 2020,$800k,VIC,Healesville,3777
12 McGrettons Rd,1,4,1,15-03-2020,UNAVAILABLE,House,10th March 2020,$570k,VIC,Healesville,3777
10 McKenzie Av,2,3,6,15-03-2020,"1,653m²",House,11th March 2020,$615k,VIC,Healesville,3777
5 Bedford Ct,2,3,2,15-03-2020,"1,151m²",House,UNAVAILABLE,$1.01m max bid,VIC,Heathmont,3135
4/77 Canterbury Rd,1,1,1,15-03-2020,UNAVAILABLE,Unit,26th February 2020,$460k,VIC,Heathmont,3135
402/109 Cape St,3,3,2,15-03-2020,UNAVAILABLE,Unit,6th March 2020,$1.38076m,VIC,Heidelberg,3084
6.04/68 Cape St,3,2,2,15-03-2020,UNAVAILABLE,Unit,10th March 2020,$1.245m,VIC,Heidelberg,3084
24 Bardia St,1,4,3,15-03-2020,583m²,House,4th March 2020,$801k,VIC,Heidelberg West,3081
127 Main Rd,3,4,4,15-03-2020,571m²,House,2nd March 2020,$785k,VIC,Hepburn Springs,3461
1/376 Autumn St,1,2,1,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$419k,VIC,Herne Hill,3218
8A Clonmult Av,2,4,2,15-03-2020,UNAVAILABLE,Townhouse,12th March 2020,$1.3m,VIC,Highett,3190
26 Desmond Av,1,3,1,15-03-2020,665m²,House,UNAVAILABLE,$1.325m,VIC,Highett,3190
36 Donald St,2,3,2,15-03-2020,618m²,House,UNAVAILABLE,Price withheld,VIC,Highett,3190
G04/10 Major St,2,2,1,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$567.5k,VIC,Highett,3190
235/75 Graham Rd,2,2,1,15-03-2020,UNAVAILABLE,Unit,4th March 2020,$585k,VIC,Highett,3190
17a Jackson Rd,3,4,2,15-03-2020,293m²,House,8th March 2020,$1.315m,VIC,Highett,3190
9 Cahill Ct,2,5,2,15-03-2020,722m²,House,11th March 2020,$665k,VIC,Highton,3216
118 Grantham Dr,4,4,2,15-03-2020,921m²,House,10th March 2020,$910k,VIC,Highton,3216
3/17 Jinjella Rd,2,3,2,15-03-2020,UNAVAILABLE,House,6th March 2020,$520k,VIC,Highton,3216
1/11 Patern St,1,3,2,15-03-2020,UNAVAILABLE,Unit,6th March 2020,$545k,VIC,Highton,3216
6 Attunga Ct,3,4,2,15-03-2020,784m²,House,UNAVAILABLE,-1,VIC,Highton,3216
7 Caroline St,2,3,4,15-03-2020,717m²,House,UNAVAILABLE,$700k,VIC,Highton,3216
37 Lansell Dr,2,4,2,15-03-2020,569m²,House,UNAVAILABLE,$744k,VIC,Highton,3216
238 Roslyn Rd,2,4,3,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,$850k,VIC,Highton,3216
21 Canopy Cr,2,4,2,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,$600k,VIC,Hillside,3037
35 Grandview Cr,2,4,2,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,$671k,VIC,Hillside,3037
9 Callistemon Dr,2,3,2,15-03-2020,568m²,House,14th March 2020,$473k,VIC,Hoppers Crossing,3029
24 Hampstead Dr,1,3,1,15-03-2020,634m²,House,UNAVAILABLE,$412k,VIC,Hoppers Crossing,3029
34 Mirambeek Rd,2,3,4,15-03-2020,659m²,House,UNAVAILABLE,$535k,VIC,Hoppers Crossing,3029
3 Beckford Cl,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,15-03-2020,UNAVAILABLE,House,28th February 2020,$510k,VIC,Hoppers Crossing,3029
120 Grevillea Cr,2,4,2,15-03-2020,613m²,House,25th February 2020,$580k,VIC,Hoppers Crossing,3029
23 Wiltonvale Av,2,5,2,15-03-2020,537m²,House,27th February 2020,$590k,VIC,Hoppers Crossing,3029
6 Brierwood Ct,2,3,3,15-03-2020,776m²,House,6th March 2020,$365k,VIC,Horsham,3400
5 Homers Ct,2,3,2,15-03-2020,553m²,House,11th March 2020,$289k,VIC,Horsham,3400
10 Hyatt Rd,2,3,2,15-03-2020,556m²,House,10th March 2020,$360k,VIC,Huntly,3551
15/311-312 The Esplanade ,1,2,1,15-03-2020,UNAVAILABLE,Unit,24th February 2020,Price withheld,VIC,Indented Head,3223
6 Darling Av,1,2,1,15-03-2020,644m²,House,5th March 2020,$480k,VIC,Inverloch,3996
321 Heinz La,2,3,2,15-03-2020,935m²,House,10th March 2020,$475k,VIC,Invermay Park,3350
751 Karadoc Av,2,4,2,15-03-2020,779m²,House,21st February 2020,$300k,VIC,Irymple,3498
6/125 Locksley Rd,1,2,1,15-03-2020,UNAVAILABLE,Unit,14th March 2020,$558k,VIC,Ivanhoe,3079
51 Ironbark Cr,2,4,1,15-03-2020,UNAVAILABLE,House,7th March 2020,$1.15m,VIC,Ivanhoe,3079
18 Longstaff St,3,4,3,15-03-2020,845m²,House,8th March 2020,$2.61m,VIC,Ivanhoe East,3079
6 Oakdene Pl,3,4,−,15-03-2020,805m²,House,UNAVAILABLE,-1,VIC,Ivanhoe East,3079
318 The Boulevard ,2,4,1,15-03-2020,793.6m²,House,UNAVAILABLE,$1.9m,VIC,Ivanhoe East,3079
26 Wamba Rd,3,4,2,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,-1,VIC,Ivanhoe East,3079
115 Alder St,1,3,2,15-03-2020,749m²,House,11th March 2020,$380k,VIC,Kangaroo Flat,3555
10 Bowles St,1,3,2,15-03-2020,679m²,House,5th March 2020,$305k,VIC,Kangaroo Flat,3555
4a Everlasting Ri,2,3,2,15-03-2020,UNAVAILABLE,House,11th March 2020,$360k,VIC,Kangaroo Flat,3555
16 Klim Av,2,4,3,15-03-2020,893m²,House,6th March 2020,$515k,VIC,Kangaroo Flat,3555
24 Lockwood Rd,1,3,2,15-03-2020,654m²,House,19th February 2020,$305k,VIC,Kangaroo Flat,3555
1 Foy St,3,5,6,15-03-2020,"2,092m²",House,10th March 2020,$255k,VIC,Katamatite,3649
31 Hedgeley Rd,1,3,5,15-03-2020,540m²,House,2nd March 2020,$600k,VIC,Kealba,3021
32 Buckland Cr,2,3,2,15-03-2020,644m²,House,12th March 2020,$867.5k,VIC,Keilor,3036
51 Hassett Cr,2,5,6,15-03-2020,607m²,House,UNAVAILABLE,$1.415m,VIC,Keilor East,3033
24 Jeffrey St,2,3,2,15-03-2020,UNAVAILABLE,House,14th March 2020,$837.9k,VIC,Keilor East,3033
107 Noga Av,3,4,1,15-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$858k,VIC,Keilor East,3033
14 Paul Av,3,4,1,15-03-2020,320m²,House,14th March 2020,$1.08m,VIC,Keilor East,3033
8 Shelley St,2,3,1,15-03-2020,624m²,House,13th March 2020,$885k,VIC,Keilor East,3033
22 Bradfield La,1,2,−,15-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$700k,VIC,Kensington,3031
201/80 Speakmen St,2,2,1,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$521k,VIC,Kensington,3031
27 Westbourne Rd,1,2,−,15-03-2020,UNAVAILABLE,House,14th March 2020,$1.2m,VIC,Kensington,3031
315/80 Ormond St,1,2,1,15-03-2020,UNAVAILABLE,Unit,2nd March 2020,$416k,VIC,Kensington,3031
201/80 Speakmen St,2,2,1,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$521k,VIC,Kensington,3031
12 Adeney Av,2,5,2,15-03-2020,UNAVAILABLE,House,14th March 2020,Price withheld,VIC,Kew,3101
8 Berkeley Ct,3,5,4,15-03-2020,877m²,House,UNAVAILABLE,$3.5m,VIC,Kew,3101
40 Duke St,2,3,3,15-03-2020,413m²,House,14th March 2020,Price withheld,VIC,Kew,3101
106 Edgevale Rd,1,2,2,15-03-2020,UNAVAILABLE,House,14th March 2020,Price withheld,VIC,Kew,3101
7 Marshall Av,3,6,4,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,$5.4m,VIC,Kew,3101
43 Molesworth St,2,3,1,15-03-2020,623m²,House,14th March 2020,Price withheld,VIC,Kew,3101
181 Peel St,1,3,1,15-03-2020,640m²,House,UNAVAILABLE,$1.628m,VIC,Kew,3101
100 Wellington St,2,5,2,15-03-2020,910m²,House,14th March 2020,$3.5m,VIC,Kew,3101
30 Cypress Wy,3,4,2,15-03-2020,482m²,House,4th March 2020,$2.18m,VIC,Kew,3101
108/59 Earl St,1,2,1,15-03-2020,UNAVAILABLE,Unit,4th March 2020,$560k,VIC,Kew,3101
9 Spruzen Av,3,5,2,15-03-2020,581m²,House,24th February 2020,$2.255m,VIC,Kew East,3102
2 Denbigh Ct,2,3,1,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,$690k,VIC,Keysborough,3173
4 Shaftesbury Ct,3,6,6,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,-1,VIC,Keysborough,3173
53 Keylana Dr,2,4,2,15-03-2020,793m²,House,7th March 2020,$1.35m,VIC,Keysborough,3173
4 Nick Wy,2,4,2,15-03-2020,600m²,House,2nd March 2020,$1.18m,VIC,Keysborough,3173
10 Tylers Run,2,4,2,15-03-2020,350m²,House,27th February 2020,$890k,VIC,Keysborough,3173
5 Lomandra Dr,2,4,2,15-03-2020,"2,000m²",House,25th February 2020,$600k,VIC,Kialla,3631
33 Kilcunda Ridge Rd,1,3,1,15-03-2020,692m²,House,13th March 2020,$425k,VIC,Kilcunda,3995
67 Kulin Dr,2,3,2,15-03-2020,900m²,House,9th March 2020,$500k,VIC,Kilmore,3764
18 Lumsden St,2,3,1,15-03-2020,336m²,House,6th March 2020,$420k,VIC,Kilmore,3764
41 Powlett St,1,3,1,15-03-2020,"1,011m²",House,UNAVAILABLE,$401k max bid,VIC,Kilmore,3764
8 Cherylnne Cr,2,3,1,15-03-2020,983m²,House,6th March 2020,Price withheld,VIC,Kilsyth,3137
4/24 Mountain View Rd,2,2,1,15-03-2020,UNAVAILABLE,Townhouse,28th February 2020,$590k,VIC,Kilsyth,3137
60 Aldergate Cr,1,4,2,15-03-2020,UNAVAILABLE,House,28th February 2020,$558k,VIC,Kings Park,3021
546 Main Rd W,2,4,2,15-03-2020,UNAVAILABLE,House,6th March 2020,$595k,VIC,Kings Park,3021
12 Clunes St,1,3,2,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,$1.23m,VIC,Kingsbury,3083
66 The Fairway ,1,3,3,15-03-2020,465m²,House,6th March 2020,$722k,VIC,Kingsbury,3083
37 Lumsdens La,1,4,2,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,$300k max bid,VIC,Koroit,3282
12 Isabella Bvd,2,3,2,15-03-2020,735m²,House,24th February 2020,$401k,VIC,Korumburra,3950
5 Munro Ct,1,2,2,15-03-2020,635m²,House,UNAVAILABLE,$240k,VIC,Korumburra,3950
25 Radovick St,1,2,2,15-03-2020,556m²,House,2nd March 2020,$392k,VIC,Korumburra,3950
25 Croxton Dr,2,4,6,15-03-2020,"7,200m²",House,17th February 2020,$950k,VIC,Kurunjang,3337
8 Jaque Ct,2,4,2,15-03-2020,601m²,House,25th February 2020,$533k,VIC,Kurunjang,3337
7 Corella Cr,2,3,2,15-03-2020,"1,460m²",House,12th March 2020,$392.5k,VIC,Kyabram,3620
100 Fischer St,1,3,2,15-03-2020,"1,200m²",House,13th March 2020,$230k,VIC,Kyabram,3620
122 High St,1,2,3,15-03-2020,850m²,House,5th March 2020,$607k,VIC,Kyneton,3444
51 Leared Dr,2,5,2,15-03-2020,"1,700m²",House,4th March 2020,$685k,VIC,Kyneton,3444
4 Mayfair Wy,2,3,2,15-03-2020,584m²,House,9th March 2020,$590k,VIC,Kyneton,3444
46 Mitchell St,1,2,1,15-03-2020,760m²,House,UNAVAILABLE,-1,VIC,Kyneton,3444
46 Duncan Rd,1,4,1,15-03-2020,574m²,House,UNAVAILABLE,$610k,VIC,Lalor,3075
17 Kent Rd,2,3,2,15-03-2020,264m²,House,UNAVAILABLE,-1,VIC,Lalor,3075
25 Vanessa Av,1,3,2,15-03-2020,533m²,House,UNAVAILABLE,$587k,VIC,Lalor,3075
6 Columbia Rd,1,4,3,15-03-2020,531m²,House,4th March 2020,$580k,VIC,Lalor,3075
48 James St,2,3,4,15-03-2020,"2,231m²",House,UNAVAILABLE,-1,VIC,Lang Lang,3984
76 Aqueduct Rd,2,4,1,15-03-2020,667m²,House,UNAVAILABLE,$740k,VIC,Langwarrin,3910
37 Kerry St,2,3,2,15-03-2020,650m²,House,5th March 2020,$643k,VIC,Langwarrin,3910
11 Parkleigh Ct,2,3,2,15-03-2020,786m²,House,10th March 2020,$599k,VIC,Langwarrin,3910
1 The Close ,3,5,4,15-03-2020,788m²,House,13th March 2020,$852k,VIC,Langwarrin,3910
3/89 Flinders Av,1,2,1,15-03-2020,UNAVAILABLE,Unit,10th March 2020,$347.5k,VIC,Lara,3212
201 Shepherds Hill Rd,3,4,2,15-03-2020,275186.23656m²,House,13th March 2020,$1.075m,VIC,Lauriston,3444
9 Orr Ct,2,3,2,15-03-2020,235m²,House,11th March 2020,$631k,VIC,Laverton,3028
23 Byrne St,1,3,1,15-03-2020,609m²,House,26th February 2020,$205k,VIC,Leongatha,3953
83 Shingler St,2,4,2,15-03-2020,789.59m²,House,28th February 2020,$467k,VIC,Leongatha,3953
8 Paraffin Dr,2,4,4,15-03-2020,576m²,House,12th March 2020,$670k,VIC,Leopold,3224
30 Shoaling Dr,2,4,2,15-03-2020,448m²,House,12th March 2020,$520k,VIC,Leopold,3224
586 Hull Rd,3,4,3,15-03-2020,"4,047m²",House,UNAVAILABLE,$1.295m,VIC,Lilydale,3140
12 Camplin Ri,2,4,2,15-03-2020,637m²,House,6th March 2020,$720k,VIC,Lilydale,3140
44 Winnetka Dr,2,3,1,15-03-2020,UNAVAILABLE,House,24th February 2020,$665k,VIC,Lilydale,3140
53 High St,1,1,1,15-03-2020,"1,021m²",House,14th March 2020,$141k,VIC,Lismore,3324
37 Echidna St,1,2,1,15-03-2020,535m²,House,10th March 2020,$182.5k,VIC,Loch Sport,3851
42 Seagull Dr,3,3,2,15-03-2020,546m²,House,13th March 2020,$380k,VIC,Loch Sport,3851
14 Toorak Av,2,4,1,15-03-2020,609m²,House,6th March 2020,$380k,VIC,Loch Sport,3851
20 Wallan St,1,3,2,15-03-2020,446m²,House,10th March 2020,$299.333k,VIC,Long Gully,3550
1 Louis St,1,2,1,15-03-2020,UNAVAILABLE,House,11th March 2020,Price withheld,VIC,Long Gully,3550
19/256-260 Mountjoy Pde,2,3,2,15-03-2020,UNAVAILABLE,House,9th March 2020,$955k,VIC,Lorne,3232
1 Sherman Ct,2,3,2,15-03-2020,724m²,House,15th February 2020,$560k,VIC,Lovely Banks,3213
4 Sirolan Ct,2,4,4,15-03-2020,511m²,House,11th March 2020,$566k,VIC,Lovely Banks,3213
73 Oshannassy Pde,2,4,2,15-03-2020,557m²,House,25th February 2020,$635k,VIC,Lucas,3350
152 Boland Dr,2,4,2,15-03-2020,508m²,House,11th March 2020,$710k,VIC,Lyndhurst,3975
117 Marriott Bvd,2,4,2,15-03-2020,720m²,House,12th March 2020,$1.01m,VIC,Lyndhurst,3975
17 Pebble Av,3,5,2,15-03-2020,UNAVAILABLE,House,11th March 2020,$1.094m,VIC,Lyndhurst,3975
6 Yellowgum Av,2,3,2,15-03-2020,590m²,House,10th March 2020,$785k,VIC,Lyndhurst,3975
1 Moonlight Dr,2,4,3,15-03-2020,"1,267m²",House,6th March 2020,$1.45m,VIC,Lysterfield,3156
58 Griffith St,2,5,1,15-03-2020,UNAVAILABLE,House,6th March 2020,$680k,VIC,Maddingley,3340
2/16 Inglis St,1,2,1,15-03-2020,UNAVAILABLE,Unit,10th March 2020,$305k,VIC,Maddingley,3340
2/7 Bernard St,2,2,1,15-03-2020,UNAVAILABLE,Townhouse,28th February 2020,$701k,VIC,Maidstone,3012
6 Curtin Ct,3,4,1,15-03-2020,UNAVAILABLE,House,23rd February 2020,$820k,VIC,Maidstone,3012
17 Edsall St,2,3,2,15-03-2020,UNAVAILABLE,House,14th March 2020,Price withheld,VIC,Malvern,3144
4/1263 High St,1,2,2,15-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$1.206m,VIC,Malvern,3144
66 Jordan St,2,3,2,15-03-2020,363m²,House,26th February 2020,Price withheld,VIC,Malvern,3144
24 McArthur St,1,3,2,15-03-2020,570m²,House,UNAVAILABLE,-1,VIC,Malvern,3144
47 Somers Av,3,4,2,15-03-2020,640m²,House,UNAVAILABLE,-1,VIC,Malvern,3144
4/11-13 Sorrett Av,2,3,2,15-03-2020,UNAVAILABLE,Townhouse,14th March 2020,$1.65m,VIC,Malvern,3144
13A Thanet St,1,3,−,15-03-2020,UNAVAILABLE,House,14th March 2020,$1.772m,VIC,Malvern,3144
1/20 Camino Tce,3,4,2,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,-1,VIC,Malvern East,3145
21 Central Park Rd,2,4,1,15-03-2020,471m²,House,14th March 2020,Price withheld,VIC,Malvern East,3145
22 Epping St,2,4,2,15-03-2020,719m²,House,UNAVAILABLE,$3.82m,VIC,Malvern East,3145
1904 Malvern Rd,1,3,2,15-03-2020,488m²,House,UNAVAILABLE,-1,VIC,Malvern East,3145
1 Turner St,1,3,2,15-03-2020,507m²,House,14th March 2020,$2.27m,VIC,Malvern East,3145
29 Turner St,1,2,1,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,-1,VIC,Malvern East,3145
21 Vickery St,1,2,1,15-03-2020,UNAVAILABLE,Townhouse,UNAVAILABLE,$800k,VIC,Malvern East,3145
14/5 Warley Rd,1,3,1,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,Price withheld,VIC,Malvern East,3145
308 Aberdeen St,1,2,2,15-03-2020,358m²,House,UNAVAILABLE,$585.5k,VIC,Manifold Heights,3218
13 Connewarre Cl,2,4,6,15-03-2020,"1,275m²",House,3rd March 2020,$743k,VIC,Manor Lakes,3024
16 McHaffie Tce,2,4,2,15-03-2020,572m²,House,13th March 2020,$575k,VIC,Manor Lakes,3024
32 Pedder St,2,4,2,15-03-2020,476m²,House,9th March 2020,$720k,VIC,Manor Lakes,3024
44 La Scala Av,2,2,1,15-03-2020,UNAVAILABLE,House,UNAVAILABLE,$510k,VIC,Maribyrnong,3032
2 Hills Rd,3,3,2,15-03-2020,"4,011m²",House,25th February 2020,$440k,VIC,Marong,3515
2/191 Barwarre Rd,2,3,2,15-03-2020,UNAVAILABLE,House,5th March 2020,$512k,VIC,Marshall,3216
4 Nikola Ct,2,3,2,15-03-2020,492m²,House,12th March 2020,$535k,VIC,Marshall,3216
22 Station Rd,1,3,1,15-03-2020,325m²,House,11th March 2020,$425k,VIC,Marshall,3216
299 Gladstone St,2,4,2,15-03-2020,720m²,House,10th March 2020,$385k,VIC,Maryborough,3465
3A Foothills Av,2,3,4,15-03-2020,401m²,House,11th March 2020,$875k,VIC,McCrae,3938
39 Graham Av,2,5,3,15-03-2020,768m²,House,UNAVAILABLE,Price withheld,VIC,McKinnon,3204
21 McKitterick St,2,4,2,15-03-2020,"1,933m²",House,UNAVAILABLE,$530k,VIC,Meeniyan,3956
725/181 Exhibition St,1,2,1,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$621k,VIC,Melbourne,3000
606/108 Flinders St,1,2,1,15-03-2020,UNAVAILABLE,Unit,6th March 2020,$530k,VIC,Melbourne,3000
1/117 Hardware St,1,1,−,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$511k,VIC,Melbourne,3000
507/616 Little Collins St,1,2,1,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,-1,VIC,Melbourne,3000
1208/408 Lonsdale St,1,−,−,15-03-2020,UNAVAILABLE,Unit,6th March 2020,$250k,VIC,Melbourne,3000
1606/120 Abeckett St,2,2,−,15-03-2020,UNAVAILABLE,Unit,11th March 2020,$619k,VIC,Melbourne,3000
1015/480 Collins St,1,1,−,15-03-2020,UNAVAILABLE,Unit,12th March 2020,$290k,VIC,Melbourne,3000
2401/8 Downie St,1,1,−,15-03-2020,UNAVAILABLE,Unit,5th March 2020,$350k,VIC,Melbourne,3000
818/238 Flinders St,1,1,-,15-03-2020,UNAVAILABLE,Unit,UNAVAILABLE,$199k,VIC,Melbourne,3000
812/565 Flinders St,1,1,−,15-03-2020,UNAVAILABLE,Unit,13th March 2020,$328k,VIC,Melbourne,3000
309/62-68 Hayward La,1,−,−,15-03-2020,UNAVAILABLE,Studio,4th March 2020,$210k,VIC,Melbourne,3000
3501/224-252 La Trobe St,1,1,−,15-03-2020,UNAVAILABLE,Unit,8th March 2020,$422k,VIC,Melbourne,3000
1105/300 Little Lonsdale St,1,2,−,15-03-2020,UNAVAILABLE,Unit,3rd March 2020,$580k,VIC,Melbourne,3000
12b/131 Lonsdale St,1,1,−,15-03-2020,UNAVAILABLE,Unit,13th March 2020,$300k,VIC,Melbourne,3000
2813/618 Lonsdale St,1,2,1,15-03-2020,UNAVAILABLE,Unit,12th March 2020,$530k,VIC,Melbourne,3000
904/9-23 Mackenzie St,2,2,−,15-03-2020,UNAVAILABLE,Unit,13th March 2020,$741k,VIC,Melbourne,3000
809/74 Queens Rd,1,1,1,15-03-2020,UNAVAILABLE,Unit,11th March 2020,$340k,VIC,Melbourne,3000
502b/11 Rose La,1,2,1,15-03-2020,UNAVAILABLE,Unit,29th February 2020,$490k,VIC,Melbourne,3000
904/336 Russell St,2,2,1,15-03-2020,UNAVAILABLE,Unit,3rd March 2020,$697k,VIC,Melbourne,3000
708/350 William St,1,1,−,15-03-2020,UNAVAILABLE,Unit,13th March 2020,$340k,VIC,Melbourne,3000
12 Barries Rd,1,4,1,15-03-2020,631m²,House,UNAVAILABLE,-1,VIC,Melton,3337
5 Avonmore Wy,2,4,2,15-03-2020,512m²,House,7th March 2020,$660k,VIC,Melton South,3338
1/22 Creek St,1,2,1,15-03-2020,UNAVAILABLE,Unit,6th March 2020,$300k,VIC,Melton South,3338
